Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.85884852,50.85019082,50.84506545,50.83601566,50.82677301,50.82338131,50.82558904,50.82658513,50.83486069,50.84442946,50.86285656,50.88241295,50.89287231,50.9205761,50.96788166,51.01210574,51.05976174,51.11201497,51.1581198,51.20310938,51.24544301,51.30002875,51.31662336,51.28370209,51.24505251,51.19265486,51.13162827,51.05352987,50.96685942,50.91956158,50.94959825,51.0683131,51.20384089,51.3225539,51.44826663,51.55613238,51.64385459,51.71883017,51.79064667,51.86089079,51.92871012,52.02059741,52.11427202,52.18282435,52.25251229,52.29935544,52.31470828,52.31694339,52.32050288,52.33137121,52.30563778,52.30629492,52.37386399,52.44265163,52.51558971,52.58927458,52.65747468,52.7233756,52.78779185,52.84943913,52.89018155,52.87364953,52.86485979,
Africa Eastern and Southern,AFE,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.38788043,50.38881445,50.39127586,50.395656,50.40051236,50.40551011,50.41071267,50.41331205,50.41363046,50.4149982,50.42372968,50.42433473,50.41176169,50.39560752,50.37320085,50.35012088,50.33511708,50.32073313,50.31049695,50.30137489,50.24966537,50.23410713,50.29206571,50.37322965,50.476537,50.59496733,50.65138288,50.64033664,50.64575593,50.65086692,50.64438265,50.63602906,50.6554125,50.70178258,50.74141362,50.77887743,50.81976439,50.83358925,50.82555441,50.82162785,50.80884329,50.79046284,50.77236516,50.75242406,50.73159643,50.71165105,50.69085235,50.66999407,50.65177722,50.6382321,50.62490736,50.60957278,50.59385841,50.57737194,50.5591667,50.53194018,50.51893492,50.51585897,50.50488678,50.49599274,50.48654433,50.47891569,50.4723472,
Afghanistan,AFG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.0830542,48.16500078,48.24237179,48.3158931,48.38527311,48.45028519,48.511803,48.57046382,48.62600485,48.67799661,48.72670074,48.77284627,48.81635135,48.85663056,48.89353127,48.92719537,48.95803044,48.98582449,49.02160638,49.07874557,49.14741214,49.21617238,49.30437659,49.40336829,49.53880859,49.71051313,49.837794,49.91543927,49.96465533,49.98149565,49.99075251,49.99650541,50.00184533,49.98742481,49.96323975,49.93902763,49.90719076,49.8737887,49.84332021,49.81110009,49.77511109,49.74020541,49.70441789,49.66916507,49.63508475,49.60465059,49.57954944,49.55098194,49.52546049,49.50585728,49.48370808,49.467665,49.45557706,49.44210287,49.43213471,49.42318425,49.41460825,49.41928409,49.43720878,49.45548523,49.4709438,49.48840461,49.50872225,
Africa Western and Central,AFW,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.17968298,50.19440758,50.20315731,50.20367855,50.2045494,50.20417321,50.20093596,50.20316458,50.20998178,50.21298227,50.20689473,50.19039251,50.17168503,50.15408373,50.13721438,50.12283839,50.11148434,50.10805225,50.112248,50.11718877,50.12116696,50.12183678,50.1213372,50.12419198,50.1197615,50.10913833,50.1010003,50.0923653,50.07874176,50.06358836,50.05271864,50.04619723,50.04079969,50.03329926,50.02562852,50.020582,50.01777702,50.01720074,50.01326938,50.00490288,49.9961248,49.98801794,49.97610302,49.95957494,49.94376899,49.93030304,49.91659643,49.90068552,49.8848051,49.86870822,49.85304729,49.83993417,49.82916775,49.81864999,49.80791355,49.79659063,49.78351458,49.77029249,49.75836865,49.74726851,49.7389555,49.7324527,49.72596851,
Angola,AGO,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.84378952,49.70094644,49.6737965,49.63497979,49.5767908,49.48833643,49.3644078,49.21363404,49.06103282,48.95295279,48.979999,49.10027426,49.21560707,49.32556326,49.42948866,49.53161035,49.63384057,49.73209823,49.82416726,49.90971275,49.98945384,50.0630079,50.13076787,50.19986079,50.27001252,50.33407648,50.39171266,50.4582592,50.52984735,50.59229872,50.65001567,50.69275199,50.72867167,50.78715965,50.85133142,50.87156624,50.85880549,50.8463571,50.8439653,50.85715215,50.86787521,50.87529875,50.87988283,50.86881499,50.84948292,50.82919048,50.80948442,50.79069583,50.77099246,50.75144149,50.73376195,50.7168214,50.70110748,50.68626223,50.67163166,50.6574955,50.64209786,50.62571859,50.61161462,50.59887948,50.58855791,50.58079444,50.57244254,
Albania,ALB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.79712294,48.76944444,48.734351,48.69136399,48.6429285,48.59271297,48.54248996,48.49170646,48.4408777,48.39023294,48.34051768,48.29312933,48.2494702,48.20919873,48.17424574,48.14816073,48.13156886,48.12204145,48.12142248,48.13042815,48.14955955,48.1825391,48.23099857,48.29426755,48.37192015,48.46397465,48.56837644,48.68402521,48.8122809,48.95459789,49.10866732,49.26935469,49.4345649,49.60128288,49.76331201,49.91718336,50.05827903,50.18638672,50.29300703,50.37113576,50.42169741,50.43940092,50.42558934,50.38569462,50.32782368,50.26016987,50.18860373,50.11404248,50.04006181,49.97329845,49.91753618,49.87699326,49.85220558,49.84059655,49.83769645,49.84241006,49.85656336,49.87853182,49.90606577,49.93933295,49.98805309,50.04904176,50.11773829,
Andorra,AND,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.45462247,49.23649178,49.04666788,48.847031,48.66036249,48.49222148,48.30193868,48.0342966,47.75455237,47.5201908,47.32124874,47.16255511,47.01734408,46.88640184,46.78306349,46.70043415,46.6375367,46.60570616,46.58009455,46.54970418,46.49967707,46.45686322,46.52054511,46.66848041,46.80780446,46.95153964,47.01677448,47.01794899,47.01937407,47.01485311,47.0029308,47.05415449,47.15884294,47.23781189,47.30737094,47.36524282,47.4753301,47.63921957,47.80014113,47.96588226,48.12926457,48.1701563,48.09665627,48.00357206,47.90142072,47.78768822,47.85779285,48.14374168,48.47018605,48.8341548,49.23446916,49.44945938,49.46559081,49.49626578,49.52876949,49.55955733,49.50785773,49.37362027,49.24879688,49.12303682,49.01415701,48.93210517,48.9050912,
Arab World,ARB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.65621086,49.64516106,49.62316326,49.60095401,49.574583,49.54464598,49.53239986,49.53646836,49.53496555,49.52866857,49.52109636,49.51093297,49.50089873,49.49385044,49.47859015,49.44420819,49.39755118,49.33845525,49.27082892,49.20685612,49.14687328,49.09763589,49.06401119,49.03976954,49.01684929,48.98721692,48.9550362,48.92661446,48.906246,48.88217737,48.86539967,48.83382861,48.79406901,48.77031028,48.7526084,48.7394763,48.72292494,48.69550645,48.67862327,48.67005327,48.66247148,48.65893139,48.65584177,48.65531577,48.66309446,48.64875497,48.57899484,48.47453506,48.36721918,48.28107907,48.24323465,48.22865517,48.21393294,48.2052553,48.19501862,48.15498078,48.11101875,48.10448602,48.11809215,48.14846829,48.21858554,48.28902916,48.32677147,
United Arab Emirates,ARE,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,39.23448203,38.91221699,38.65204162,38.43165229,38.23477814,38.0593451,37.91045921,37.79074627,36.49652124,34.36217973,32.72164893,31.58951912,30.79303103,30.22244568,29.80455529,29.48302705,29.24612937,29.16287644,29.22652009,29.36941082,29.55688488,30.18115218,31.1532415,32.03353017,32.82686109,33.51532689,33.71580387,33.52553986,33.35982291,33.21479596,33.08626525,32.96975726,32.86077938,32.75753345,32.65762826,32.55357052,32.37760593,32.15905793,31.97440716,31.81801306,31.68364865,31.56689339,31.46520514,31.37471833,31.29133289,30.9642646,30.0241031,28.8037511,27.81590528,27.20542789,27.19691442,27.57489763,27.93540288,28.28113883,28.61239271,28.9276014,29.22530729,29.50731868,29.77885857,30.04718912,30.27709162,30.46517699,30.64659958,
Argentina,ARG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.91837735,49.97457769,50.01674329,50.05999574,50.10341347,50.14578305,50.18499659,50.2235926,50.26524716,50.30948753,50.35081236,50.40035496,50.45943585,50.51491995,50.568811,50.61294524,50.64672437,50.67796845,50.70339884,50.72402853,50.74344323,50.76382748,50.78530536,50.80306498,50.81668977,50.822954,50.82080891,50.8152768,50.80636356,50.79536735,50.78226357,50.76939021,50.75945048,50.75196225,50.7387377,50.72238942,50.71073053,50.70392759,50.69953119,50.69301908,50.686905,50.6833488,50.68320657,50.67761871,50.66564783,50.65549326,50.64422945,50.63365131,50.62282102,50.6066536,50.58776345,50.56959245,50.55678744,50.54740971,50.53488163,50.52294926,50.51360095,50.50337517,50.49497681,50.49030607,50.49075149,50.49373652,50.49338702,
Armenia,ARM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.44132704,51.39693538,51.35876894,51.32355748,51.29258983,51.26964425,51.25123285,51.23601601,51.22747688,51.22387344,51.21941211,51.26694232,51.36832867,51.47082293,51.57205799,51.67051835,51.73615679,51.77993899,51.83087225,51.81117047,51.76355122,51.75669755,51.74960361,51.741119,51.73860717,51.74710139,51.76551809,51.78360214,51.7877011,51.73494121,51.66177005,51.61640311,51.76165984,52.04655359,52.26384106,52.40455137,52.47885809,52.54959776,52.61866041,52.69473461,52.77635668,52.85680499,52.95231587,53.06173402,53.16179265,53.26484964,53.38108288,53.50165574,53.62340749,53.74790507,53.87186543,53.99170222,54.09438101,54.18767244,54.28439443,54.38295418,54.48558623,54.59120039,54.69881268,54.80510898,54.89352041,54.97991024,55.04071435,
American Samoa,ASM,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,48.64824496,48.67157956,48.71662279,48.7630416,48.81267655,48.88204865,48.92629135,48.94156471,48.97297719,49.03773299,49.06371191,49.03779944,48.98977301,48.94668583,48.92113608,48.91624117,48.92376979,48.93237279,48.93407153,48.93743174,48.93571733,48.89750139,48.84496847,48.8090377,48.77908195,48.75828858,48.7372941,48.70921059,48.68184676,48.66488075,48.68668702,48.73040496,48.76792204,48.80603431,48.84294676,48.8811071,48.92293578,48.95642161,48.9903362,49.02246762,49.06749098,49.1204307,49.17407223,49.22421084,49.26942699,49.30659867,49.34109823,49.38013231,49.42835161,49.49969295,49.57063939,49.62437857,49.68802965,49.75752429,49.82476971,49.89292945,49.96828417,50.06166225,50.16107715,50.26520995,50.37563056,50.50738315,50.59291216,
Antigua and Barbuda,ATG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,52.33818799,52.29442617,52.26985686,52.25345287,52.273967,52.34390718,52.42431741,52.50661343,52.58546395,52.6638637,52.7039385,52.72275317,52.77378468,52.83806214,52.90417017,52.96634653,53.01297078,53.04521422,53.06315969,53.07929236,53.09990908,53.11942959,53.14037804,53.16169276,53.06141183,52.85327758,52.65020398,52.4528771,52.25532181,52.04601169,51.847524,51.72706415,51.79016069,51.96706869,52.14396469,52.31000906,52.47571564,52.63135724,52.76552941,52.88332588,52.9584971,52.98563275,52.97493361,52.9349984,52.89139991,52.84778825,52.80301626,52.75799844,52.71167914,52.66756571,52.62500729,52.56373301,52.49218697,52.43228584,52.38692904,52.35320933,52.32542732,52.3030323,52.28865169,52.27699556,52.2619356,52.25222326,52.23915617,
Australia,AUS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.4793979,49.49128769,49.54289797,49.58932894,49.61385187,49.63190974,49.65256078,49.67333694,49.68765127,49.69848021,49.7180873,49.74614883,49.76917828,49.78799433,49.8127742,49.85157185,49.89918131,49.94814831,49.99488709,50.03565642,50.06915393,50.08491598,50.0802752,50.07311932,50.07208843,50.06530602,50.06236768,50.07822317,50.10048165,50.11558895,50.13197733,50.15787079,50.18444663,50.20730214,50.22651984,50.24512305,50.27200704,50.30447169,50.33295134,50.35605226,50.3750428,50.3825434,50.3776165,50.37091986,50.36210187,50.34947174,50.32964724,50.29578757,50.25275236,50.22257624,50.2193498,50.2281698,50.23671901,50.2574358,50.29491581,50.33736442,50.37283276,50.39206462,50.39821083,50.39304859,50.37714962,50.35799615,50.34518117,
